,activity,borrower_genders,country,country_code,currency_policy,distribution_model,lender_count,loan_amount,original_language,repayment_interval,sector,status,term_in_months,rMPI
17203,Sewing,female,Nicaragua,NI,not shared,field_partner,13,350,Spanish,monthly,Services,funded,9,0.161
17204,Fish Selling,group,Ghana,GH,shared,field_partner,28,1575,English,irregular,Food,funded,10,0.058
17205,Personal Housing Expenses,female,Peru,PE,shared,field_partner,11,900,Spanish,monthly,Housing,not_funded,26,0.009
17206,Jewelry,female,Philippines,PH,shared,field_partner,8,275,English,irregular,Retail,funded,8,0.091
17207,Sewing,female,Tajikistan,TJ,shared,field_partner,15,400,Russian,monthly,Services,funded,14,0.086
17208,Tailoring,female,India,IN,shared,field_partner,6,175,English,bullet,Services,funded,43,0.121
17209,Taxi,male,Yemen,YE,shared,field_partner,15,475,English,monthly,Transportation,funded,13,0.057
17210,Agriculture,group,Burkina Faso,BF,shared,field_partner,22,625,French,irregular,Agriculture,funded,8,0.554
17211,General Store,female,Philippines,PH,shared,field_partner,5,175,English,irregular,Retail,funded,9,0.055
17212,Animal Sales,group,Guatemala,GT,shared,field_partner,140,4650,English,monthly,Agriculture,funded,14,0.082
17213,General Store,female,Philippines,PH,shared,field_partner,1,300,English,irregular,Retail,funded,8,0.055
17214,Farming,female,Cambodia,KH,not shared,field_partner,12,500,English,monthly,Agriculture,funded,14,0.16
17215,Personal Housing Expenses,female,Tajikistan,TJ,not shared,field_partner,18,1600,Russian,monthly,Housing,not_funded,26,0.033
17216,Farming,male,Nigeria,NG,shared,field_partner,1,100,English,bullet,Agriculture,funded,20,0.311
17217,Food Market,female,Nigeria,NG,not shared,field_partner,7,250,English,monthly,Food,funded,11,0.107
17218,Motorcycle Transport,male,Uganda,UG,shared,field_partner,16,825,English,monthly,Transportation,not_funded,14,0.013
17219,Cosmetics Sales,female,Philippines,PH,not shared,field_partner,5,175,English,irregular,Retail,funded,5,0.422
17220,Animal Sales,male,Peru,PE,shared,field_partner,9,650,Spanish,monthly,Agriculture,not_funded,14,0.038
17221,Higher education costs,female,Jordan,JO,shared,field_partner,45,1150,English,monthly,Education,funded,19,0.005
17222,Food,male,Jordan,JO,shared,field_partner,7,2025,English,monthly,Food,not_funded,27,0.011
17223,Restaurant,female,Uganda,UG,shared,field_partner,12,300,English,irregular,Food,funded,11,0.013
17224,Retail,female,Bolivia,BO,shared,field_partner,29,1175,English,monthly,Retail,funded,14,0.077
17225,Sewing,female,Nicaragua,NI,shared,field_partner,3,125,Spanish,monthly,Services,funded,11,0.077
17226,Retail,female,Philippines,PH,not shared,field_partner,14,375,English,irregular,Retail,funded,11,0.093
17227,Farming,female,Kenya,KE,shared,field_partner,15,400,English,monthly,Agriculture,funded,14,0.02
17228,Food Market,female,Jordan,JO,shared,field_partner,22,725,English,monthly,Food,not_funded,15,0.005
17229,Cattle,female,Pakistan,PK,shared,field_partner,8,500,English,monthly,Agriculture,not_funded,14,0.184
17230,Services,male,Kenya,KE,shared,field_partner,16,475,English,irregular,Services,funded,9,0.075
17231,General Store,female,Philippines,PH,shared,field_partner,6,350,English,irregular,Retail,not_funded,1 Year,0.055
17232,Retail,female,Congo,CG,shared,field_partner,20,550,French,irregular,Retail,funded,6,0.102
17233,Spare Parts,male,Nicaragua,NI,shared,field_partner,2,250,Spanish,monthly,Retail,funded,5,0.112
17234,Food Production/Sales,male,Colombia,CO,shared,field_partner,12,775,Spanish,monthly,Food,not_funded,15,0.009
17235,Grocery Store,group,Nicaragua,NI,shared,field_partner,14,950,Spanish,irregular,Food,funded,5,0.077
17236,Restaurant,group,The Democratic Republic of the Congo,CD,not shared,field_partner,130,4600,English,irregular,Food,funded,16,0.102
17237,Personal Products Sales,female,El Salvador,SV,shared,field_partner,10,400,Spanish,monthly,Retail,not_funded,17,0.201
17238,Motorcycle Transport,female,Kenya,KE,shared,field_partner,32,900,English,monthly,Transportation,funded,20,0.075
17239,Construction Supplies,female,Nicaragua,NI,not shared,field_partner,14,700,Spanish,monthly,Construction,funded,15,0.161
17240,General Store,female,El Salvador,SV,not shared,field_partner,25,650,Spanish,monthly,Retail,funded,14,0.03
17241,Used Clothing,female,Kenya,KE,shared,field_partner,20,500,English,irregular,Clothing,funded,14,0.075
17242,Phone Accessories,male,Yemen,YE,shared,field_partner,18,475,English,monthly,Retail,funded,13,0.2
17243,Cattle,male,Tajikistan,TJ,not shared,field_partner,12,450,Russian,monthly,Agriculture,funded,8,0.021
17244,Beauty Salon,female,Pakistan,PK,shared,field_partner,17,675,English,monthly,Services,not_funded,14,0.039
17245,Recycling,group,Vietnam,VN,not shared,field_partner,28,975,Vietnamese,monthly,Services,funded,8,0.013
17246,Services,group,Brazil,BR,shared,field_partner,91,3675,Portuguese,irregular,Services,not_funded,9,0.012
17247,Carpentry,male,Peru,PE,not shared,field_partner,15,550,Spanish,irregular,Construction,funded,6,0.062
17248,Retail,group,Nicaragua,NI,shared,field_partner,1,1550,Spanish,irregular,Retail,funded,8,0.161
17249,Fish Selling,female,Sierra Leone,SL,not shared,field_partner,6,200,English,monthly,Food,funded,10,0.423
17250,Farming,male,Kenya,KE,shared,field_partner,11,350,English,monthly,Agriculture,funded,14,0.02
17251,Vehicle Repairs,male,Togo,TG,shared,field_partner,31,875,French,monthly,Services,funded,14,0.067
17252,Grocery Store,female,Ecuador,EC,not shared,field_partner,17,1075,Spanish,irregular,Food,funded,6,0.054
17253,Pigs,female,Philippines,PH,shared,field_partner,9,250,English,monthly,Agriculture,funded,8,0.497
17254,Clothing Sales,female,Guatemala,GT,shared,field_partner,9,425,Spanish,monthly,Clothing,funded,14,0.067
17255,Retail,group,The Democratic Republic of the Congo,CD,shared,field_partner,5,6600,French,irregular,Retail,not_funded,6,0.034
17256,General Store,female,Uganda,UG,shared,field_partner,5,125,English,irregular,Retail,funded,6,0.013
17257,Farming,female,Philippines,PH,shared,field_partner,5,225,English,irregular,Agriculture,funded,7,0.055
17258,Livestock,female,Tajikistan,TJ,shared,field_partner,24,650,English,monthly,Agriculture,funded,19,0.033
17259,Fuel/Firewood,female,Nigeria,NG,not shared,field_partner,21,950,English,monthly,Retail,funded,10,0.107
17260,Retail,female,Togo,TG,shared,field_partner,6,150,French,irregular,Retail,funded,7,0.067
17261,Fruits & Vegetables,group,Uganda,UG,shared,field_partner,94,2850,English,irregular,Food,funded,9,0.013
17262,Internet Cafe,female,Philippines,PH,shared,field_partner,9,225,English,irregular,Services,funded,5,0.422
17263,Cattle,male,Tajikistan,TJ,shared,field_partner,34,1050,Russian,monthly,Agriculture,not_funded,14,0.033
17264,General Store,female,Bolivia,BO,shared,field_partner,16,450,Spanish,monthly,Retail,funded,11,0.077
17265,Fruits & Vegetables,female,Kenya,KE,shared,field_partner,3,100,English,monthly,Food,funded,8,0.075
17266,Tailoring,female,Philippines,PH,shared,field_partner,9,350,English,irregular,Services,funded,7,0.029
17267,Livestock,male,El Salvador,SV,shared,field_partner,26,1500,Spanish,bullet,Agriculture,not_funded,14,0.054
17268,Consumer Goods,female,Cambodia,KH,not shared,field_partner,35,1000,English,monthly,Personal Use,funded,20,0.121
17269,Retail,female,Benin,BJ,shared,field_partner,6,150,French,monthly,Retail,funded,9,0.083
17270,Food,female,Colombia,CO,shared,field_partner,13,325,Spanish,bullet,Food,funded,21,0.005
17271,Farming,male,Nigeria,NG,shared,field_partner,5,375,English,bullet,Agriculture,funded,21,0.311
17272,Spare Parts,female,Peru,PE,shared,field_partner,25,1500,Spanish,irregular,Retail,funded,6,0.062
17273,Farming,female,Ecuador,EC,not shared,field_partner,23,600,Spanish,bullet,Agriculture,funded,14,0.014
17274,Farming,female,Nicaragua,NI,not shared,field_partner,10,375,Spanish,bullet,Agriculture,funded,11,0.161
17275,Personal Products Sales,female,Nicaragua,NI,shared,field_partner,16,1500,Spanish,monthly,Retail,not_funded,20,0.161
17276,Retail,group,Yemen,YE,shared,field_partner,51,1500,English,monthly,Retail,funded,15,0.062
17277,Personal Housing Expenses,female,Peru,PE,not shared,field_partner,22,550,Spanish,irregular,Housing,funded,6,0.062
17278,Home Products Sales,group,Uganda,UG,not shared,field_partner,39,1100,English,irregular,Retail,funded,7,0.013
17279,Agriculture,male,Nicaragua,NI,not shared,field_partner,4,750,Spanish,bullet,Agriculture,funded,20,0.082
17280,Personal Expenses,group,Yemen,YE,shared,field_partner,4,350,English,irregular,Personal Use,funded,7,0.057
17281,Farming,group,Cambodia,KH,shared,field_partner,12,375,English,monthly,Agriculture,funded,14,0.274
17282,General Store,female,Philippines,PH,shared,field_partner,10,375,English,irregular,Retail,funded,1 Year,0.055
17283,Grocery Store,female,Bolivia,BO,shared,field_partner,14,600,English,irregular,Food,funded,6,0.077
17284,Grocery Store,female,Nicaragua,NI,not shared,field_partner,21,1275,Spanish,monthly,Food,not_funded,15,0.161
17285,Poultry,group,Uganda,UG,not shared,field_partner,43,1350,English,irregular,Agriculture,funded,8,0.013
17286,Farming,female,Philippines,PH,shared,field_partner,12,350,English,irregular,Agriculture,funded,11,0.055
17287,Farming,female,El Salvador,SV,shared,field_partner,10,500,Spanish,bullet,Agriculture,funded,14,0.054
17288,Animal Sales,male,Peru,PE,shared,field_partner,23,575,Spanish,monthly,Agriculture,funded,14,0.038
17289,Home Products Sales,female,Philippines,PH,shared,field_partner,6,150,English,irregular,Retail,funded,8,0.054
17290,Farming,group,Cambodia,KH,shared,field_partner,20,550,English,monthly,Agriculture,funded,14,0.196
17291,Primary/secondary school costs,female,Kenya,KE,shared,field_partner,15,375,English,irregular,Education,funded,14,0.075
17292,Food Production/Sales,female,Philippines,PH,shared,field_partner,6,300,English,irregular,Food,funded,8,0.055
17293,Retail,female,Kenya,KE,shared,field_partner,9,225,English,irregular,Retail,funded,11,0.075
17294,Farming,male,Nicaragua,NI,not shared,field_partner,8,425,Spanish,irregular,Agriculture,funded,14,0.161
17295,General Store,female,Nicaragua,NI,not shared,field_partner,12,325,Spanish,monthly,Retail,funded,14,0.112
17296,Farming,male,El Salvador,SV,shared,field_partner,5,250,Spanish,bullet,Agriculture,funded,6,0.054
17297,Agriculture,male,Ecuador,EC,not shared,field_partner,25,1300,Spanish,bullet,Agriculture,funded,14,0.014
17298,Fruits & Vegetables,female,Pakistan,PK,shared,field_partner,7,450,English,monthly,Food,funded,14,0.184
17299,Fruits & Vegetables,female,Kenya,KE,shared,field_partner,11,300,English,irregular,Food,funded,14,0.075
17300,General Store,male,Philippines,PH,shared,field_partner,5,600,English,irregular,Retail,funded,7,0.027
17301,Farming,female,Philippines,PH,shared,field_partner,10,375,English,irregular,Agriculture,funded,1 Year,0.055
17302,Retail,group,Sierra Leone,SL,shared,field_partner,30,825,English,monthly,Retail,funded,1 Year,0.423
17303,Motorcycle Transport,male,Philippines,PH,shared,field_partner,14,350,English,irregular,Transportation,funded,7,0.039
17304,Rickshaw,male,Peru,PE,shared,field_partner,23,625,Spanish,monthly,Transportation,funded,20,0.038
17305,Transportation,female,Pakistan,PK,shared,field_partner,11,300,English,monthly,Transportation,funded,14,0.039
17306,Livestock,male,Tajikistan,TJ,shared,field_partner,64,1650,Russian,monthly,Agriculture,funded,30,0.033
17307,Electronics Sales,male,Kenya,KE,shared,field_partner,15,975,English,monthly,Retail,not_funded,8,0.02
17308,Grocery Store,male,Togo,TG,shared,field_partner,24,825,English,monthly,Food,funded,14,0.067
17309,Agriculture,male,El Salvador,SV,shared,field_partner,16,800,Spanish,irregular,Agriculture,not_funded,14,0.201
17310,Sewing,female,Colombia,CO,shared,field_partner,40,1050,Spanish,monthly,Services,funded,15,0.009
17311,Farming,female,Tajikistan,TJ,shared,field_partner,5,225,English,monthly,Agriculture,funded,14,0.294
17312,Animal Sales,male,Peru,PE,shared,field_partner,6,200,Spanish,monthly,Agriculture,funded,8,0.089
17313,Retail,female,Bolivia,BO,not shared,field_partner,13,400,Spanish,irregular,Retail,funded,7,0.077
17314,Electronics Sales,male,Colombia,CO,shared,field_partner,14,750,Spanish,monthly,Retail,not_funded,14,0.583
17315,Farming,male,Cambodia,KH,shared,field_partner,40,1125,English,monthly,Agriculture,funded,27,0.16
17316,Primary/secondary school costs,male,Nigeria,NG,shared,field_partner,8,475,English,bullet,Education,not_funded,15,0.311
17317,Pub,female,Uganda,UG,shared,field_partner,13,350,English,irregular,Food,funded,7,0.013
17318,Home Appliances,group,Cambodia,KH,shared,field_partner,5,125,English,monthly,Personal Use,funded,8,0.121
17319,Food Market,female,Sierra Leone,SL,shared,field_partner,5,175,English,irregular,Food,funded,1 Year,0.133
17320,Personal Housing Expenses,male,Peru,PE,shared,field_partner,15,375,Spanish,monthly,Housing,funded,14,0.038
17321,General Store,male,Kenya,KE,shared,field_partner,44,1175,English,monthly,Retail,funded,14,0.02
17322,Farming,male,Uganda,UG,shared,field_partner,16,450,English,irregular,Agriculture,funded,14,0.346
17323,Restaurant,female,Sierra Leone,SL,shared,field_partner,27,700,English,monthly,Food,funded,10,0.423
17324,Retail,male,Yemen,YE,shared,field_partner,29,750,English,monthly,Retail,funded,14,0.2
17325,Clothing Sales,group,Peru,PE,shared,field_partner,35,4450,Spanish,irregular,Clothing,funded,6,0
17326,Used Clothing,female,Nicaragua,NI,shared,field_partner,18,1150,Spanish,monthly,Clothing,not_funded,15,0.161
17327,Grocery Store,female,Nigeria,NG,not shared,field_partner,4,400,English,monthly,Food,funded,11,0.107
17328,Retail,female,Togo,TG,not shared,field_partner,12,425,French,monthly,Retail,funded,1 Year,0.067
17329,Textiles,female,Philippines,PH,shared,field_partner,4,225,English,irregular,Arts,funded,6,0.029
17330,Farming,female,Philippines,PH,shared,field_partner,17,475,English,irregular,Agriculture,funded,8,0.091
17331,Grocery Store,female,Peru,PE,not shared,field_partner,22,625,Spanish,monthly,Food,funded,7,0.071
17332,General Store,female,Philippines,PH,shared,field_partner,11,425,English,irregular,Retail,funded,11,0.055
17333,Crafts,female,Jordan,JO,shared,field_partner,45,1325,English,monthly,Arts,funded,21,0.005
17334,Food,female,Cambodia,KH,not shared,field_partner,17,500,English,monthly,Food,funded,14,0.16
17335,Farming,male,Mozambique,MZ,shared,field_partner,189,9675,English,irregular,Agriculture,not_funded,8,0.301
17336,Fruits & Vegetables,female,Philippines,PH,shared,field_partner,4,125,English,irregular,Food,funded,8,0.039
17337,Pigs,female,Philippines,PH,shared,field_partner,10,250,English,irregular,Agriculture,funded,8,0.055
17338,Personal Housing Expenses,female,Cambodia,KH,not shared,field_partner,36,1000,English,monthly,Housing,funded,14,0.16
17339,Fuel/Firewood,female,Philippines,PH,shared,field_partner,8,225,English,irregular,Retail,funded,14,0.055
17340,Sewing,female,Colombia,CO,shared,field_partner,31,1000,Spanish,monthly,Services,funded,14,0.005
17341,Pigs,female,Philippines,PH,shared,field_partner,13,375,English,irregular,Agriculture,funded,8,0.039
17342,Vehicle,female,Cambodia,KH,not shared,field_partner,27,700,English,monthly,Personal Use,funded,20,0.196
17343,Farming,group,Kenya,KE,shared,field_partner,39,1225,English,bullet,Agriculture,funded,11,0.223
17344,Grocery Store,female,Uganda,UG,shared,field_partner,7,200,English,irregular,Food,funded,11,0.417
17345,Pharmacy,group,Sierra Leone,SL,shared,field_partner,36,1000,English,monthly,Health,funded,8,0.319
17346,Personal Housing Expenses,female,Nicaragua,NI,not shared,field_partner,24,750,Spanish,monthly,Housing,funded,18,0.108
17347,Office Supplies,female,Colombia,CO,shared,field_partner,8,275,Spanish,monthly,Retail,funded,15,0.009
17348,Food Stall,female,Kenya,KE,shared,field_partner,5,125,English,monthly,Food,funded,8,0.02
17349,Pigs,female,Philippines,PH,shared,field_partner,1,225,English,irregular,Agriculture,funded,8,0.054
17350,Food Production/Sales,female,Philippines,PH,shared,field_partner,8,225,English,irregular,Food,funded,11,0.055
17351,Grocery Store,group,Peru,PE,shared,field_partner,26,2725,Spanish,monthly,Food,funded,7,0.062
17352,General Store,female,El Salvador,SV,shared,field_partner,14,500,Spanish,monthly,Retail,funded,20,0.054
17353,Construction,male,Lebanon,LB,not shared,field_partner,17,1350,English,monthly,Construction,not_funded,18,0.011
17354,General Store,female,Philippines,PH,shared,field_partner,16,425,English,irregular,Retail,funded,8,0.091
17355,Fishing,female,Cambodia,KH,not shared,field_partner,8,200,English,monthly,Food,funded,14,0.16
17356,Farming,female,Cambodia,KH,shared,field_partner,9,250,English,monthly,Agriculture,funded,14,0.274
17357,Taxi,female,Pakistan,PK,shared,field_partner,8,300,English,irregular,Transportation,funded,1 Year,0.039
17358,Home Energy,female,Kenya,KE,shared,field_partner,2,75,English,monthly,Personal Use,funded,14,0.223
17359,Office Supplies,female,Philippines,PH,shared,field_partner,12,375,English,irregular,Retail,funded,6,0.422
17360,Food Production/Sales,female,El Salvador,SV,shared,field_partner,7,400,Spanish,monthly,Food,funded,14,0.201
17361,Furniture Making,male,Peru,PE,shared,field_partner,31,1050,Spanish,monthly,Manufacturing,funded,14,0
17362,Retail,male,Nicaragua,NI,not shared,field_partner,12,625,Spanish,monthly,Retail,funded,13,0.077
17363,Beauty Salon,female,Nicaragua,NI,shared,field_partner,14,350,Spanish,monthly,Services,funded,11,0.112
17364,Farming,female,India,IN,shared,field_partner,8,200,English,bullet,Agriculture,funded,43,0.121
17365,Farming,group,Cambodia,KH,shared,field_partner,29,750,English,monthly,Agriculture,funded,13,0.274
17366,Farming,group,Kenya,KE,shared,field_partner,62,4350,English,bullet,Agriculture,not_funded,11,0.223
17367,Higher education costs,female,Cambodia,KH,shared,field_partner,5,125,English,monthly,Education,funded,14,0.16
17368,Higher education costs,female,Cambodia,KH,shared,field_partner,79,2525,English,monthly,Education,funded,80,0.353
17369,Food Production/Sales,female,Philippines,PH,shared,field_partner,1,150,English,irregular,Food,funded,8,0.055
17370,Food Production/Sales,female,Philippines,PH,shared,field_partner,8,200,English,monthly,Food,funded,14,0.497
17371,Farming,female,Philippines,PH,shared,field_partner,22,575,English,bullet,Agriculture,funded,7,0.039
17372,Food Market,female,Liberia,LR,shared,field_partner,14,400,English,irregular,Food,funded,11,0.527
17373,Livestock,group,Vietnam,VN,not shared,field_partner,49,1350,Vietnamese,monthly,Agriculture,funded,14,0.013
17374,Farming,female,Kenya,KE,shared,field_partner,2,400,English,monthly,Agriculture,not_funded,14,0.223
17375,Electrician,female,Pakistan,PK,shared,field_partner,7,300,English,monthly,Services,funded,14,0.039
17376,Food,female,El Salvador,SV,shared,field_partner,12,800,Spanish,monthly,Food,not_funded,20,0.03
17377,Poultry,female,Zimbabwe,ZW,shared,field_partner,13,500,English,monthly,Agriculture,funded,14,0.14
17378,Home Products Sales,female,Peru,PE,shared,field_partner,1,1500,Spanish,irregular,Retail,funded,6,0.062
17379,Farming,female,Honduras,HN,shared,field_partner,31,1075,Spanish,bullet,Agriculture,funded,9,0.109
17380,Pigs,female,Philippines,PH,shared,field_partner,9,375,English,irregular,Agriculture,funded,8,0.055
17381,Home Energy,female,Kenya,KE,shared,field_partner,2,50,English,monthly,Personal Use,funded,7,0.509
17382,General Store,female,Philippines,PH,shared,field_partner,2,125,English,irregular,Retail,funded,8,0.055
17383,Beverages,female,Colombia,CO,shared,field_partner,7,225,Spanish,monthly,Food,funded,14,0.005
17384,Higher education costs,female,Jordan,JO,shared,field_partner,23,725,English,monthly,Education,funded,18,0.005
17385,Clothing Sales,female,India,IN,shared,field_partner,12,300,English,bullet,Clothing,funded,43,0.206
17386,Retail,male,Kenya,KE,shared,field_partner,33,950,English,monthly,Retail,funded,11,0.075
17387,Fish Selling,female,Philippines,PH,shared,field_partner,1,250,English,irregular,Food,funded,8,0.055
17388,Retail,male,Tajikistan,TJ,shared,field_partner,18,2100,Russian,monthly,Retail,not_funded,14,0.294
17389,Shoe Sales,female,Ghana,GH,shared,field_partner,24,700,English,irregular,Retail,funded,9,0.122
17390,Grocery Store,female,Cambodia,KH,not shared,field_partner,19,500,English,monthly,Food,funded,20,0.121
17391,Farming,female,Kenya,KE,shared,field_partner,23,625,English,monthly,Agriculture,funded,14,0.02
17392,Fish Selling,female,Philippines,PH,not shared,field_partner,13,325,English,irregular,Food,funded,11,0.093
17393,Farming,female,Kenya,KE,shared,field_partner,12,1000,English,monthly,Agriculture,not_funded,14,0.223
17394,Fish Selling,female,Nigeria,NG,shared,field_partner,24,675,English,monthly,Food,funded,10,0.107
17395,Taxi,male,Lebanon,LB,not shared,field_partner,45,3000,English,monthly,Transportation,funded,21,0.003
17396,Transportation,group,Pakistan,PK,shared,field_partner,30,950,English,monthly,Transportation,funded,13,0.184
17397,Home Appliances,group,Cambodia,KH,shared,field_partner,8,200,English,monthly,Personal Use,funded,8,0.121
17398,Renewable Energy Products,male,Uganda,UG,shared,field_partner,82,2825,English,monthly,Retail,funded,8,0.013
17399,General Store,male,Uganda,UG,shared,field_partner,17,600,English,monthly,Retail,not_funded,1 Year,0.013
17400,Services,male,Colombia,CO,shared,field_partner,4,550,Spanish,bullet,Services,not_funded,15,0.005
17401,Dairy,female,Kenya,KE,shared,field_partner,7,250,English,monthly,Agriculture,funded,14,0.223
17402,Sewing,female,Pakistan,PK,shared,field_partner,8,300,English,monthly,Services,funded,14,0.039
17403,Food Stall,group,Malawi,MW,shared,field_partner,25,650,English,irregular,Food,funded,6,0.183
17404,Education provider,female,Pakistan,PK,shared,field_partner,9,300,English,irregular,Education,funded,1 Year,0.039
17405,Fishing,female,Philippines,PH,not shared,field_partner,6,150,English,irregular,Food,funded,7,0.055
17406,Food Production/Sales,female,El Salvador,SV,shared,field_partner,12,500,Spanish,monthly,Food,funded,14,0.077
17407,Personal Housing Expenses,female,Cambodia,KH,not shared,field_partner,26,850,English,monthly,Housing,funded,20,0.16
17408,Crafts,female,Peru,PE,not shared,field_partner,8,200,English,bullet,Arts,funded,10,0
17409,Retail,male,Kenya,KE,shared,field_partner,31,1225,English,monthly,Retail,not_funded,14,0.02
17410,Grocery Store,female,Peru,PE,shared,field_partner,24,700,Spanish,monthly,Food,funded,14,0
17411,Agriculture,group,Guatemala,GT,shared,field_partner,155,4900,Spanish,bullet,Agriculture,funded,14,0.082
17412,Food Market,female,Philippines,PH,shared,field_partner,7,250,English,irregular,Food,funded,8,0.029
17413,Retail,female,Nicaragua,NI,shared,field_partner,15,1500,Spanish,monthly,Retail,not_funded,15,0.161
17414,Food Production/Sales,group,Ghana,GH,shared,field_partner,58,2625,English,irregular,Food,funded,9,0.058
17415,Pigs,female,Philippines,PH,shared,field_partner,10,400,English,bullet,Agriculture,funded,6,0.039
17416,Clothing Sales,female,Mongolia,MN,shared,field_partner,43,1150,English,monthly,Clothing,funded,14,0.006
17417,Vehicle,female,Cambodia,KH,not shared,field_partner,7,200,English,monthly,Personal Use,funded,14,0.16
17418,Call Center,female,Lebanon,LB,shared,field_partner,37,975,English,monthly,Services,funded,14,0.003
17419,Farming,male,Nigeria,NG,shared,field_partner,7,175,English,bullet,Agriculture,funded,19,0.311
17420,Home Appliances,group,Cambodia,KH,shared,field_partner,4,100,English,monthly,Personal Use,funded,8,0.204
17421,Personal Housing Expenses,female,Mongolia,MN,shared,field_partner,49,1650,English,monthly,Housing,funded,15,0.006
17422,Retail,female,Colombia,CO,shared,field_partner,11,375,Spanish,monthly,Retail,funded,14,0.009
17423,Higher education costs,female,Peru,PE,shared,field_partner,38,1200,Spanish,monthly,Education,funded,15,0
17424,Cloth & Dressmaking Supplies,female,Togo,TG,shared,field_partner,10,250,French,irregular,Retail,funded,10,0.067
17425,Food Market,group,Sierra Leone,SL,shared,field_partner,24,725,English,monthly,Food,funded,8,0.319
17426,Food Market,group,Sierra Leone,SL,shared,field_partner,22,550,English,monthly,Food,funded,10,0.537
17427,Personal Expenses,male,Peru,PE,shared,field_partner,5,200,Spanish,irregular,Personal Use,funded,9,0.009
17428,Cattle,female,El Salvador,SV,shared,field_partner,32,975,Spanish,bullet,Agriculture,funded,14,0.077
17429,Fishing,female,Philippines,PH,shared,field_partner,14,350,English,irregular,Food,funded,7,0.055
17430,Shoe Sales,female,Benin,BJ,shared,field_partner,11,400,French,monthly,Retail,funded,14,0.278
17431,Farming,group,Cambodia,KH,shared,field_partner,11,500,English,monthly,Agriculture,funded,14,0.16
17432,Used Shoes,group,The Democratic Republic of the Congo,CD,shared,field_partner,28,5825,French,irregular,Clothing,funded,6,0.034
17433,Cosmetics Sales,group,Nicaragua,NI,not shared,field_partner,37,1475,Spanish,monthly,Retail,funded,9,0.161
17434,Plastics Sales,female,Nigeria,NG,not shared,field_partner,25,700,English,monthly,Retail,funded,10,0.605
17435,Poultry,female,El Salvador,SV,shared,field_partner,18,525,Spanish,monthly,Agriculture,funded,18,0.054
17436,Charcoal Sales,group,Burkina Faso,BF,shared,field_partner,10,500,French,irregular,Retail,funded,6,0.554
17437,Clothing Sales,female,Tajikistan,TJ,not shared,field_partner,9,800,English,monthly,Clothing,funded,7,0.033
17438,Personal Products Sales,female,Togo,TG,shared,field_partner,3,300,French,irregular,Retail,funded,7,0.067
17439,Clothing Sales,female,Rwanda,RW,shared,field_partner,30,1150,English,monthly,Clothing,funded,10,0.292
17440,Used Clothing,female,Kenya,KE,shared,field_partner,13,400,English,irregular,Clothing,funded,13,0.075
17441,Crafts,female,Cambodia,KH,not shared,field_partner,26,750,English,monthly,Arts,funded,14,0.16
17442,Personal Expenses,male,Nigeria,NG,shared,field_partner,2,50,English,bullet,Personal Use,funded,14,0.311
17443,Clothing Sales,female,Kenya,KE,shared,field_partner,19,500,English,irregular,Clothing,funded,14,0.075
17444,General Store,female,Philippines,PH,shared,field_partner,11,350,English,irregular,Retail,funded,8,0.422
17445,General Store,female,Philippines,PH,shared,field_partner,5,625,English,bullet,Retail,funded,8,0.039
17446,General Store,female,Philippines,PH,not shared,field_partner,5,125,English,irregular,Retail,funded,7,0.039
17447,Retail,female,Tanzania,TZ,not shared,field_partner,10,350,English,monthly,Retail,funded,1 Year,0.143
17448,Higher education costs,male,Nicaragua,NI,shared,field_partner,17,825,Spanish,monthly,Education,funded,20,0.161
17449,Food,female,Sierra Leone,SL,shared,field_partner,47,1175,English,monthly,Food,funded,10,0.319
17450,Food Market,female,Honduras,HN,shared,field_partner,14,675,Spanish,monthly,Food,not_funded,20,0.073
17451,Clothing Sales,male,Tajikistan,TJ,not shared,field_partner,26,1050,English,monthly,Clothing,funded,14,0.021
17452,Cobbler,male,Colombia,CO,not shared,field_partner,11,300,Spanish,monthly,Services,funded,14,0.005
17453,Office Supplies,female,Togo,TG,shared,field_partner,5,175,French,irregular,Retail,funded,5,0.067
17454,General Store,female,Kenya,KE,shared,field_partner,14,1000,English,monthly,Retail,not_funded,14,0.02
17455,Land Rental,group,Cambodia,KH,shared,field_partner,40,1225,English,monthly,Agriculture,funded,14,0.274
17456,Phone Use Sales,group,Yemen,YE,shared,field_partner,17,425,English,monthly,Retail,funded,13,0.062
17457,Farming,group,Cambodia,KH,shared,field_partner,55,1425,English,monthly,Agriculture,funded,14,0.196
17458,Grocery Store,female,India,IN,shared,field_partner,5,175,English,bullet,Food,funded,43,0.121
17459,Livestock,female,Kyrgyzstan,KG,shared,field_partner,30,875,Russian,monthly,Agriculture,funded,14,0.033
17460,Electronics Sales,female,Jordan,JO,shared,field_partner,12,1425,English,monthly,Retail,not_funded,17,0.005
17461,Personal Products Sales,female,Philippines,PH,shared,field_partner,32,1025,English,irregular,Retail,funded,8,0.029
17462,Fish Selling,group,The Democratic Republic of the Congo,CD,shared,field_partner,39,2525,French,irregular,Food,funded,6,0.034
17463,General Store,group,The Democratic Republic of the Congo,CD,shared,field_partner,76,10000,French,irregular,Retail,not_funded,9,0.034
17464,Dairy,male,Kenya,KE,shared,field_partner,22,625,English,monthly,Agriculture,funded,22,0.509
17465,Pigs,female,Philippines,PH,shared,field_partner,6,150,English,irregular,Agriculture,funded,8,0.055
